BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,SUBLOCALITY.1,LOCALITY.1,STREET_NAME.1
Brokered by Island Advantage Realty Llc,Multi-family home for sale,1169900,6,4.0,2310.0,102-33 46th Ave,"Corona, NY 11368","102-33 46th AveCorona, NY 11368",United States,New York,Queens County,Queens,46th Avenue,"102-33 46th Ave, Flushing, NY 11368, USA",40.7462943,-73.8609962,,,
Brokered by R A L ENTERPRISES,House for sale,790000,4,2.0,1744.0,966 E 42nd St,"Brooklyn, NY 11210","966 E 42nd StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,East 42nd Street,"966 E 42nd St, Brooklyn, NY 11210, USA",40.631398,-73.9361773,,,
Brokered by RE MAX Elite,Co-op for sale,345000,2,1.0,1000.0,2483 W 16th St Apt 14D,"Brooklyn, NY 11214","2483 W 16th St Apt 14DBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,2483,"2483 W 16th St #14d, Brooklyn, NY 11214, USA",40.5871907,-73.9840965,,,
Brokered by Corcoran Chelsea/Flatiron,House for sale,4195000,6,6.0,2184.207862,9 Clinton St,"New York, NY 10002","9 Clinton StNew York, NY 10002",United States,New York,New York County,New York,Clinton Street,"9 Clinton St, New York, NY 10002, USA",40.7210845,-73.9842397,,,
Brokered by Staten Island Premiere Properties,Contingent,599000,4,4.0,2800.0,77 Harbour Ct,"Staten Island, NY 10308","77 Harbour CtStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,Harbour Court,"77 Harbour Ct, Staten Island, NY 10308, USA",40.5387352,-74.1423893,,,
"Brokered by CLAS - Classic Marketing, LLC",Co-op for sale,1465000,3,3.0,2184.207862,215 E 73rd St Unit 4A,"New York, NY 10021","215 E 73rd St Unit 4ANew York, NY 10021",New York,New York County,New York,Manhattan,215,"215 E 73rd St #4a, New York, NY 10021, USA",40.7701914,-73.9590118,,,
Brokered by RE MAX Real Estate Professionals,House for sale,619000,2,2.0,804.0,15 Eunice Pl,"Staten Island, NY 10303","15 Eunice PlStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,Eunice Place,"15 Eunice Pl, Staten Island, NY 10303, USA",40.6250376,-74.1522209,,,
"Brokered by Robert E. Hill, Inc.",Co-op for sale,430000,2,2.0,1200.0,2727 Palisade Ave Apt 5B,"Bronx, NY 10463","2727 Palisade Ave Apt 5BBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,2727,"2727 Palisade Ave #5b, Bronx, NY 10463, USA",40.8830657,-73.9206428,,,
Brokered by Douglas Elliman - Bayside,Co-op for sale,299000,1,1.0,800.0,92-30 56th Ave Unit 3G,"Elmhurst, NY 11373","92-30 56th Ave Unit 3GElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,92-30,"92-30 56th Ave #3g, Elmhurst, NY 11373, USA",40.7365158,-73.8687964,,,
Brokered by COMPASS,Condo for sale,2950000,3,2.0,1709.0,360 Furman St Apt 337,"Brooklyn, NY 11201","360 Furman St Apt 337Brooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,360,"360 Furman St APT 337, Brooklyn, NY 11201, USA",40.6935342,-74.0002618,,,
Brokered by Douglas Elliman - Bayside,Co-op for sale,199999,1,1.0,2184.207862,209-10 41st Ave Unit 1F,"Bayside, NY 11361","209-10 41st Ave Unit 1FBayside, NY 11361",New York,Queens County,Queens,Bayside,209-10,"209-10 41st Ave #1f, Bayside, NY 11361, USA",40.762788,-73.7768814,,,
Brokered by Nest Seekers Westchester Llc,Multi-family home for sale,925000,4,2.3738608579684373,2160.0,2423 Woodhull Ave,"Bronx, NY 10469","2423 Woodhull AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Woodhull Avenue,"2423 Woodhull Ave, Bronx, NY 10469, USA",40.8616602,-73.8421016,,,
Brokered by Prime Homes Realty,House for sale,425000,2,1.0,2184.207862,117-23 142nd St,"Jamaica, NY 11436","117-23 142nd StJamaica, NY 11436",United States,New York,Queens County,Queens,142nd Street,"117-23 142nd St, Jamaica, NY 11436, USA",40.6779035,-73.799284,,,
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,22500000,4,2.3738608579684373,9132.0,217 W 20th St,"New York, NY 10011","217 W 20th StNew York, NY 10011",United States,New York,New York County,New York,West 20th Street,"217 W 20th St, New York, NY 10011, USA",40.7427821,-73.9977697,,,
Brokered by Elite Realty of USA Inc,Multi-family home for sale,989000,4,4.0,2184.207862,120-10 135th St,"Jamaica, NY 11420","120-10 135th StJamaica, NY 11420",United States,New York,Queens County,Queens,135th Street,"120-10 135th St, Jamaica, NY 11420, USA",40.6751744,-73.8037556,,,
Brokered by Keystone Realty USA Corp,House for sale,799000,5,3.0,2184.207862,112-20 210th St,"Queens Village, NY 11429","112-20 210th StQueens Village, NY 11429",United States,New York,Queens County,Queens,210th Street,"112-20 210th St, Queens Village, NY 11429, USA",40.7039425,-73.7459355,,,
Brokered by Daniel Gale of Brooklyn LLC,Townhouse for sale,1348000,5,2.0,2184.207862,46-03 104 St,"Queens, NY 11368","46-03 104 StQueens, NY 11368",United States,New York,Queens County,Queens,104th Street,"46-03 104th St, Flushing, NY 11368, USA",40.7462947,-73.8595834,,,
Brokered by Keller Williams City Views,Co-op for sale,109000,1,1.0,2184.207862,335 E 209th St Apt 4,"Bronx, NY 10467","335 E 209th St Apt 4Bronx, NY 10467",New York,Bronx County,The Bronx,Norwood,335,"335 E 209th St Apt 4, Bronx, NY 10467, USA",40.8768714,-73.8742644,,,
Brokered by PULLINI REALTY CORP.,House for sale,2999000,4,2.0,1732.0,1718 63rd St,"Brooklyn, NY 11204","1718 63rd StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,63rd Street,"1718 63rd St, Brooklyn, NY 11204, USA",40.6212043,-73.9908884,,,
"Brokered by Robert E. Hill, Inc.",Co-op for sale,249000,1,1.0,850.0,601 Kappock St Apt 3N,"Bronx, NY 10463","601 Kappock St Apt 3NBronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,601,"601 Kappock St #3n, Bronx, NY 10463, USA",40.8789773,-73.916004,,,
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1195000,14,6.0,5100.0,320 61st St,"Brooklyn, NY 11220","320 61st StBrooklyn, NY 11220",United States,New York,Kings County,Brooklyn,61st Street,"320 61st St, Brooklyn, NY 11220, USA",40.6411025,-74.0207743,,,
Brokered by Magic Of Great Neck Realty Inc,Co-op for sale,449000,1,2.0,1130.0,26910 Grand Central Pkwy Apt 9S,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 9SFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,269-10,"269-10 Grand Central Pkwy #9N, Queens, NY 11005, USA",40.7578216,-73.7159784,,,
Brokered by SIMPLON ENTERPRISES INC,House for sale,560000,3,2.0,2184.207862,815 Havemeyer Ave,"Bronx, NY 10473","815 Havemeyer AveBronx, NY 10473",United States,New York,Bronx County,The Bronx,Havemeyer Avenue,"815 Havemeyer Ave, Bronx, NY 10473, USA",40.824234,-73.84638,,,
Brokered by Renken Realty LLC,Multi-family home for sale,1200000,9,2.3738608579684373,2184.207862,12 Hancock St,"Bedford Stuyvesant, NY 11216","12 Hancock StBedford Stuyvesant, NY 11216",United States,New York,Kings County,Brooklyn,Hancock Street,"12 Hancock St, Brooklyn, NY 11216, USA",40.681739,-73.9553364,,,
Brokered by Trademarko Realty Inc,Multi-family home for sale,2350000,15,10.0,8460.0,60-01 Metropolitan Ave,"Ridgewood, NY 11385","60-01 Metropolitan AveRidgewood, NY 11385",United States,New York,Queens County,Queens,Metropolitan Avenue,"60-01 Metropolitan Ave, Flushing, NY 11385, USA",40.7130859,-73.905278,,,
Brokered by Homedax Real Estate Llc,Co-op for sale,449000,2,1.0,2184.207862,123 E 88th St Apt 1A,"New York, NY 10128","123 E 88th St Apt 1ANew York, NY 10128",New York,New York County,New York,Manhattan,123,"123 E 88th St #1a, New York, NY 10128, USA",40.7810674,-73.954925,,,
Brokered by Martino Realty Group,Condo for sale,349900,1,1.0,651.0,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304","165 Cromwell Ave Apt 2BStaten Island, NY 10304",New York,Richmond County,Staten Island,Dongan Hills,165,"165 Cromwell Ave #2b, Staten Island, NY 10304, USA",40.5902064,-74.0958034,,,Williamsburg
Brokered by Precious Properties Corp.,Contingent,275000,2,1.0,900.0,177 3rd St Unit 1,"Staten Island, NY 10306","177 3rd St Unit 1Staten Island, NY 10306",New York,Richmond County,Staten Island,New Dorp,177,"177 3rd St #1, Staten Island, NY 10306, USA",40.5735927,-74.1200228,,,
Brokered by TREBACH REALTY INC,House for sale,3400000,6,6.0,6290.0,5000 Goodridge Ave,"Bronx, NY 10471","5000 Goodridge AveBronx, NY 10471",United States,New York,Bronx County,The Bronx,Goodridge Avenue,"5000 Goodridge Ave, Bronx, NY 10471, USA",40.8969575,-73.9032123,,,
Brokered by COMPASS,Co-op for sale,525000,1,1.0,715.0,67 Park Ave Unit 8E,"Manhattan, NY 10016","67 Park Ave Unit 8EManhattan, NY 10016",New York,New York County,New York,Manhattan,67,"67 Park Ave #8e, New York, NY 10016, USA",40.74958,-73.9790355,,,
Brokered by RE MAX Edge,Multi-family home for sale,848000,5,4.0,2080.0,544 Hinsdale St,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,Hinsdale Street,"544 Hinsdale St, Brooklyn, NY 11207, USA",40.6615475,-73.898309,,,Woodhaven
Brokered by Madison Estates Sotheby's International Realty,Co-op for sale,379000,2,2.0,1160.0,3215 Avenue H Apt 3P,"Brooklyn, NY 11210","3215 Avenue H Apt 3PBrooklyn, NY 11210",New York,Kings County,Brooklyn,Little Haiti,3215,"3215 Avenue H #3p, Brooklyn, NY 11210, USA",40.6320616,-73.9452586,,,
Brokered by Century Homes Realty Group LLC,Multi-family home for sale,1599999,8,4.0,2184.207862,64-17 35 Ave,"Woodside, NY 11377","64-17 35 AveWoodside, NY 11377",United States,New York,Queens County,Queens,35th Avenue,"64-17 35th Ave, Flushing, NY 11377, USA",40.7505901,-73.8980016,,,
Brokered by Gosen Properties Inc,Foreclosure,269000,5,2.0,2184.207862,24149 148th Dr,"Rosedale, NY 11422","24149 148th DrRosedale, NY 11422",United States,New York,Queens County,Queens,148th Drive,"241-49 148th Dr, Jamaica, NY 11422, USA",40.6534433,-73.741373,,,Windsor Terrace
Brokered by Momentum Real Estate LLC,House for sale,499000,3,2.0,1024.0,140 Kiswick St,"Staten Island, NY 10306","140 Kiswick StStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Kiswick Street,"140 Kiswick St, Staten Island, NY 10306, USA",40.5757598,-74.0943577,,,
Brokered by COMPASS,Co-op for sale,230000,1,1.0,620.0,255 W 108th St Apt 1F,"Manhattan, NY 10025","255 W 108th St Apt 1FManhattan, NY 10025",New York,New York County,New York,Manhattan,255,"255 W 108th St #1b, New York, NY 10025, USA",40.8028416,-73.9670229,,,
Brokered by Peace Of Mind Realty,House for sale,750000,3,2.0,1868.0,857 E 37th St,"East Flatbush, NY 11203","857 E 37th StEast Flatbush, NY 11203",United States,New York,Kings County,Brooklyn,East 37th Street,"857 E 37th St, Brooklyn, NY 11210, USA",40.6359284,-73.9409763,,,
Brokered by Progress Realty Inc.,Co-op for sale,189000,2,1.0,800.0,756 Brady Ave Apt 307,"Bronx, NY 10462","756 Brady Ave Apt 307Bronx, NY 10462",New York,Bronx County,The Bronx,East Bronx,756,"756 Brady Ave Apt 307, Bronx, NY 10462, USA",40.8522362,-73.8655005,,,
Brokered by All American Realty Management,Pending,184888,3,1.0,500.0,2902745 35 98th St Unit 15A,"Queens, NY 11374","2902745 35 98th St Unit 15AQueens, NY 11374",New York,Queens County,Queens,Rego Park,61-35,"61-35 98th St #15a, Rego Park, NY 11374, USA",40.7343409,-73.859014,,,
Brokered by John Savoretti Realty,Multi-family home for sale,799000,6,4.0,2200.0,62-14 Hillmeyer Rd,"Arverne, NY 11692","62-14 Hillmeyer RdArverne, NY 11692",United States,New York,Queens County,Queens,Hillmeyer Road,"6214 Hillmeyer Rd, Arverne, NY 11692, USA",40.598207,-73.7911759,,,
Brokered by Brown Harris Stevens Forest Hills LLC,Co-op for sale,289000,1,1.0,750.0,118-17 Union Turnpike Tpke Unit 2F,"Queens, NY 11375","118-17 Union Turnpike Tpke Unit 2FQueens, NY 11375",United States,New York,Queens County,Queens,Union Turnpike,"118-17 Union Tpke, Forest Hills, NY 11375, USA",40.7129779,-73.8345967,,,
Brokered by RE MAX Edge,Co-op for sale,288000,1,1.0,800.0,8853 Bay 16th St Apt 3A,"Brooklyn, NY 11214","8853 Bay 16th St Apt 3ABrooklyn, NY 11214",New York,Kings County,Brooklyn,Bath Beach,8853,"8853 Bay 16th St #3a, Brooklyn, NY 11214, USA",40.6028929,-74.0093853,,,
Brokered by RE MAX Real Estate Professionals,Multi-family home for sale,1880000,5,2.0,1850.0,6820 17th Ave,"Brooklyn, NY 11204","6820 17th AveBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,17th Avenue,"6820 17th Ave, Brooklyn, NY 11204, USA",40.6184547,-73.9949244,,,
Brokered by American Homes Group,House for sale,265000,2,1.0,660.0,19 Vera St,"Staten Island, NY 10305","19 Vera StStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,Vera Street,"19 Vera St, Staten Island, NY 10305, USA",40.5849224,-74.0968781,,,
Brokered by RE MAX Edge,Pending,1149000,7,4.0,3617.0,1949 Benedict Ave,"Bronx, NY 10462","1949 Benedict AveBronx, NY 10462",United States,New York,Bronx County,The Bronx,Benedict Avenue,"1949 Benedict Ave, Bronx, NY 10462, USA",40.8343858,-73.8590313,,,
Brokered by Howard Hanna | Rand Realty,House for sale,575000,3,1.0,1390.0,920 Harding Park,"Bronx, NY 10473","920 Harding ParkBronx, NY 10473",United States,New York,Bronx County,The Bronx,Harding Park,"920 Harding Park, Bronx, NY 10473, USA",40.8069155,-73.8562067,,,
Brokered by COMPASS,Townhouse for sale,3995000,8,8.0,5046.0,322 W 104th St,"Manhattan, NY 10025","322 W 104th StManhattan, NY 10025",United States,New York,New York County,New York,West 104th Street,"322 W 104th St, New York, NY 10025, USA",40.80059,-73.97071,,,
Brokered by United Realty Associates,Multi-family home for sale,1350888,4,3.0,2184.207862,61-26 69th Ln,"Middle Village, NY 11379","61-26 69th LnMiddle Village, NY 11379",United States,New York,Queens County,Queens,69th Lane,"61-26 69th Ln, Flushing, NY 11379, USA",40.7197495,-73.888525,,,
Brokered by NEXTHOME PLATINUM PROPERTIES,Co-op for sale,330000,1,1.0,656.0,17-85 215th St Unit 6K,"Bayside, NY 11360","17-85 215th St Unit 6KBayside, NY 11360",New York,Queens County,Queens,Flushing,17-85,"17-85 215th St #6k, Flushing, NY 11360, USA",40.7843012,-73.7761962,,,
Brokered by Stuyvesant Heights Realty Corp,Multi-family home for sale,3165000,9,5.0,2184.207862,278 Decatur St,"Stuyvesant Heights, NY 11233","278 Decatur StStuyvesant Heights, NY 11233",United States,New York,Kings County,Brooklyn,Decatur Street,"278 Decatur St, Brooklyn, NY 11233, USA",40.6813796,-73.9323311,,,
"Brokered by Neuhaus Realty, Inc.",Multi-family home for sale,1299000,6,2.3738608579684373,3733.0,433 Clove Rd,"Staten Island, NY 10310","433 Clove RdStaten Island, NY 10310",United States,New York,Richmond County,Staten Island,Clove Road,"433 Clove Rd, Staten Island, NY 10310, USA",40.6298438,-74.1233871,,,
Brokered by Jason Mitchell Real Estate New York,Contingent,350000,3,2.0,1137.0,145 Lincoln Ave Apt 3J,"Staten Island, NY 10306","145 Lincoln Ave Apt 3JStaten Island, NY 10306",New York,Richmond County,Staten Island,Midland Beach,145,"145 Lincoln Ave #3j, Staten Island, NY 10306, USA",40.579062,-74.1076165,,,
Brokered by COMPASS,Townhouse for sale,1775000,4,4.0,2078.0,142 A 31st St,"Brooklyn, NY 11232","142 A 31st StBrooklyn, NY 11232",United States,New York,Kings County,Brooklyn,East 31st Street,"142 E 31st St, Brooklyn, NY 11226, USA",40.6473249,-73.9484704,,,
Brokered by COMPASS,Co-op for sale,60000000,8,8.0,2184.207862,960 5th Ave Unit 12,"Manhattan, NY 10075","960 5th Ave Unit 12Manhattan, NY 10075",New York,New York County,New York,Manhattan,960,"960 5th Ave #12, New York, NY 10075, USA",40.7756423,-73.9642465,,,
Brokered by Real Estate Property Group LLC,House for sale,350000,2,1.0,490.0,750 Patterson Ave,"Staten Island, NY 10306","750 Patterson AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Patterson Avenue,"750 Patterson Ave, Staten Island, NY 10306, USA",40.5731273,-74.089182,,,Shore Road
Brokered by Coldwell Banker American Homes,Co-op for sale,165000,1,1.0,2184.207862,1141 McBride St Apt 4A,"Far Rockaway, NY 11691","1141 McBride St Apt 4AFar Rockaway, NY 11691",New York,Queens County,Queens,Far Rockaway,1141,"1141 McBride St #4d, Far Rockaway, NY 11691, USA",40.6053247,-73.7581283,,,
Brokered by FOXR - Fox Residential Group,Co-op for sale,620000,3,1.0,2184.207862,80 Central Park W Apt 4G,"New York, NY 10023","80 Central Park W Apt 4GNew York, NY 10023",New York,New York County,New York,Manhattan,80,"80 Central Park W #4g, New York, NY 10023, USA",40.7740567,-73.9780672,,,
Brokered by Prime Realty,Multi-family home for sale,1199000,6,3.0,2184.207862,79-28 68th Ave,"Middle Village, NY 11379","79-28 68th AveMiddle Village, NY 11379",United States,New York,Queens County,Queens,68th Avenue,"79-28 68th Ave, Middle Village, NY 11379, USA",40.711017,-73.8723608,,,
Brokered by City Connections Realty,Co-op for sale,600000,3,1.0,2184.207862,201 W 21st St Apt 9A,"New York, NY 10011","201 W 21st St Apt 9ANew York, NY 10011",New York,New York County,New York,Manhattan,201,"201 W 21st St #9a, New York, NY 10011, USA",40.7430502,-73.9967075,,,
Brokered by Bond New York- Columbus Circle,Condo for sale,2295000,3,3.0,1615.0,166 E 63rd St Apt 10C,"New York, NY 10065","166 E 63rd St Apt 10CNew York, NY 10065",New York,New York County,New York,Manhattan,166,"166 E 63rd St #10c, New York, NY 10065, USA",40.7641145,-73.9651826,,,
Brokered by Crossings Realty,Co-op for sale,165000,3,1.0,400.0,84-25 118 St Unit 3A,"Kew Gardens, NY 11415","84-25 118 St Unit 3AKew Gardens, NY 11415",New York,Queens County,Queens,Jamaica,84-25,"84-25 118th St #3a, Jamaica, NY 11415, USA",40.7034174,-73.8331304,,,
Brokered by Corcoran East Side,Co-op for sale,1650000,1,1.0,2184.207862,170 E 78th St Apt 3C,"New York, NY 10075","170 E 78th St Apt 3CNew York, NY 10075",New York,New York County,New York,Manhattan,170,"170 E 78th St #3c, New York, NY 10075, USA",40.7737439,-73.9586221,,,
Brokered by Aschan Realty,House for sale,649999,3,2.0,2184.207862,139-32 Laurelton Pkwy,"Rosedale, NY 11422","139-32 Laurelton PkwyRosedale, NY 11422",United States,New York,Queens County,Queens,Laurelton Parkway,"139-32 Laurelton Pkwy, Jamaica, NY 11422, USA",40.6670008,-73.7409018,,,
Brokered by Coldwell Banker Advantage,House for sale,2350000,5,4.0,4270.0,144 Dunham St,"Staten Island, NY 10309","144 Dunham StStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,Dunham Street,"144 Dunham St, Staten Island, NY 10309, USA",40.5251737,-74.2176044,,,
Brokered by Avenues - Headquarters,Condo for sale,555000,3,1.0,2184.207862,186 W 80th St Apt 3E,"New York, NY 10024","186 W 80th St Apt 3ENew York, NY 10024",New York,New York County,New York,Manhattan,186,"186 W 80th St #3e, New York, NY 10024, USA",40.7835114,-73.9776775,,,
Brokered by Exp Realty,Co-op for sale,189999,1,1.0,2184.207862,32-30 93rd St Unit A7,"East Elmhurst, NY 11369","32-30 93rd St Unit A7East Elmhurst, NY 11369",New York,Queens County,Queens,East Elmhurst,3230,"3230 93rd St Apt A7, East Elmhurst, NY 11369, USA",40.7586799,-73.8755,,,
Brokered by CITIZENS INTERNATIONAL REALTY,House for sale,975000,3,2.0,2184.207862,838 Lenox Rd,"Brooklyn, NY 11203","838 Lenox RdBrooklyn, NY 11203",United States,New York,Kings County,Brooklyn,Lenox Road,"838 Lenox Rd, Brooklyn, NY 11203, USA",40.6553249,-73.9284733,,,
Brokered by RE MAX Elite,House for sale,849999,2,2.0,1365.0,155 Ebbitts St,"Staten Island, NY 10306","155 Ebbitts StStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,Ebbitts Street,"155 Ebbitts St, Staten Island, NY 10306, USA",40.562056,-74.1052535,,,
Brokered by COMPASS,Condo for sale,848880,1,1.0,713.0,11 E 36th St Ste 404,"Manhattan, NY 10016","11 E 36th St Ste 404Manhattan, NY 10016",New York,New York County,New York,Manhattan,11,"11 E 36th St STE 404, New York, NY 10016, USA",40.7496366,-73.9825832,,,
Brokered by Ortiz Home Selling Team Llc,Co-op for sale,279900,1,1.0,900.0,1020 Grand Concourse Apt 14D,"Bronx, NY 10451","1020 Grand Concourse Apt 14DBronx, NY 10451",New York,Bronx County,The Bronx,Concourse Village,1020,"1020 Grand Concourse #14d, Bronx, NY 10451, USA",40.8301222,-73.9202611,,,
Brokered by Great Riches Realty,Condo for sale,665000,2,1.0,1120.0,80-09 35th Ave Unit A8,"Jackson Heights, NY 11372","80-09 35th Ave Unit A8Jackson Heights, NY 11372",New York,Queens County,Queens,Flushing,8009,"8009 35th Ave APT A8, Flushing, NY 11372, USA",40.7519149,-73.8861292,,,
Brokered by Mitra Hakimi Realty Group LLC,Co-op for sale,140000,3,1.0,2184.207862,164-20 Highland Ave Unit 5S,"Jamaica, NY 11432","164-20 Highland Ave Unit 5SJamaica, NY 11432",New York,Queens County,Queens,Jamaica,164-20,"164-20 Highland Ave #5b, Jamaica, NY 11432, USA",40.7101573,-73.7988498,,,
Brokered by Liberty Chateau Realty Inc,House for sale,924900,3,2.0,1404.0,1559 W 4th St,"Brooklyn, NY 11204","1559 W 4th StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,West 4th Street,"1559 W 4th St, Brooklyn, NY 11204, USA",40.6094348,-73.9777343,,,
Brokered by Exp Realty,Townhouse for sale,650000,3,2.0,1912.0,1077 Adee Ave,"Bronx, NY 10469","1077 Adee AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,Adee Avenue,"1077 Adee Ave, Bronx, NY 10469, USA",40.8697126,-73.8565137,,,
Brokered by COMPASS,Condo for sale,749000,1,2.0,908.0,112-01 Queens Blvd Unit 8A,"Queens, NY 11375","112-01 Queens Blvd Unit 8AQueens, NY 11375",New York,Queens County,Queens,Forest Hills,112-01,"112-01 Queens Blvd #8a, Forest Hills, NY 11375, USA",40.7190009,-73.8365029,,,
Brokered by Brown Harris Stevens,Co-op for sale,399000,3,2.0,2184.207862,12 E 132nd St Apt 2A,"Manhattan, NY 10037","12 E 132nd St Apt 2AManhattan, NY 10037",New York,New York County,New York,Manhattan,12,"12 E 132nd St #2a, New York, NY 10037, USA",40.8102659,-73.9382868,,,
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,229000,1,1.0,2184.207862,21-16 35th St Unit 1B,"Astoria, NY 11105","21-16 35th St Unit 1BAstoria, NY 11105",New York,Queens County,Queens,Astoria,21-16,"21-16 35th St #1b, Astoria, NY 11105, USA",40.7763731,-73.9073075,,,
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,650000,1,1.0,2184.207862,411 E 57th St Apt 16B,"New York, NY 10022","411 E 57th St Apt 16BNew York, NY 10022",New York,New York County,New York,Manhattan,411,"411 E 57th St #16b, New York, NY 10022, USA",40.7582795,-73.9624506,,,
Brokered by Douglas Elliman - Franklin Square,Co-op for sale,319000,3,1.0,960.0,58-42 251st St Unit 190,"Little Neck, NY 11362","58-42 251st St Unit 190Little Neck, NY 11362",United States,New York,Queens County,Queens,251st Street,"58- 42 251st St, Queens, NY 11362, USA",40.7598591,-73.7290086,,,
