STATE_NAME,STATE_ABBREVIATION,COUNTY_NAME,COUNTY_FIPS_CODE,STUDYYEAR,EMR_16,FEMR_16,MEMR_16,EMR_20to64,FEMR_20to64,MEMR_20to64,UNR_16,FUNR_16,MUNR_16,UNR_20to64,FUNR_20to64,MUNR_20to64,FLFPR_20to64,FLFPR_20to64_UNDER6,FLFPR_20to64_6to17,FLFPR_20to64_UNDER6_6to17,MLFPR_20to64,PR_F,PR_P,MHI,MFI,MFI_2022,ME,FME,MME,MHI_2022,ME_2022,FME_2022,MME_2022,TOTALPOP,ONERACE,ONERACE_W,ONERACE_B,ONERACE_I,ONERACE_A,ONERACE_H,ONERACE_OTHER,TWORACES,HISPANIC,HOUSEHOLDS,H_UNDER6_BOTHWORK,H_UNDER6_FWORK,H_UNDER6_MWORK,H_UNDER6_SINGLEM,H_6to17_BOTHWORK,H_6to17_FWORK,H_6to17_MWORK,H_6to17_SINGLEM,EMP_M,MEMP_M,FEMP_M,EMP_SERVICE,MEMP_SERVICE,FEMP_SERVICE,EMP_SALES,MEMP_SALES,FEMP_SALES,EMP_N,MEMP_N,FEMP_N,EMP_P,MEMP_P,FEMP_P,MCBto5,MC6to11,MC12to17,MC18to23,MC24to29,MC30to35,MC36to41,MC42to47,MC48to53,MC54toSA,MCSA,Annual Center-Based Care Cost (School Age),MFCCBto5,MFCC6to11,MFCC12to17,MFCC18to23,MFCC24to29,MFCC30to35,MFCC36to41,MFCC42to47,MFCC48to53,MFCC54toSA,MFCCSA,Annual Median Home-Based Care Cost (School Age),_75CBto5,_75C6to11,_75C12to17,_75C18to23,_75C24to29,_75C30to35,_75C36to41,_75C42to47,_75C48to53,_75C54toSA,_75CSA,_75FCCBto5,_75FCC6to11,_75FCC12to17,_75FCC18to23,_75FCC24to29,_75FCC30to35,_75FCC36to41,_75FCC42to47,_75FCC48to53,_75FCC54toSA,_75FCCSA,MCINFANT,Annual Center-Based Care Cost (Infant),MCTODDLER,Annual Center-Based Care Cost (Toddler),MCPRESCHOOL,Annual Center-Based Care Cost (Preschool),_75CINFANT,_75CTODDLER,_75CPRESCHOOL,MFCCINFANT,Annual Median Home-Based Care Cost (Infant),MFCCTODDLER,Annual Median Home-Based Care Cost (Toddler),MFCCPRESCHOOL,Annual Median Home-Based Care Cost (Preschool),_75FCCINFANT,_75FCCTODDLER,_75FCCPRESCHOOL
Oregon,OR,Deschutes County,41017,2019,59.7,56.0,63.6,75.6,71.5,79.9,5.4,5.1,5.7,4.8,4.6,5.0,74.9,67.9,79.0,72.9,84.3,7.4,10.8,67043,77395,89778,32156,28452,38048,77770,37301,33004,44136,186251,97.0,93.2,0.6,0.6,1.1,0.2,1.3,3.0,8.0,74397,4394,3033,671,2270.0,12720,3967,710,4807.0,37.9,34.3,41.8,19.5,17.2,21.9,23.0,16.1,30.4,9.4,17.0,1.1,10.3,15.4,4.8,226.5,226.5,226.5,226.5,212.43,212.43,187.68,187.68,171.01,171.01,109.17,5676.84,158.26,158.26,158.26,158.26,150.63,150.63,148.32,148.32,145.76,145.76,131.36,6830.720000000001,252.5,252.5,252.5,252.5,243.41,243.41,214.38,214.38,193.35,193.35,131.0,186.67,186.67,186.67,186.67,178.23,178.23,170.34,170.34,165.83,165.83,151.32,226.5,11778.0,212.43,11046.36,187.68,9759.36,252.5,243.41,214.38,158.26,8229.52,150.63,7832.76,148.32,7712.639999999999,186.67,178.23,170.34
Massachusetts,MA,Bristol County,25005,2018,62.1,59.2,65.3,76.1,74.1,78.2,5.8,5.4,6.3,5.4,4.9,6.0,78.0,79.0,83.1,74.3,83.3,8.7,11.5,66157,83882,98981,38434,31819,46092,78065,45352,37546,54389,558905,97.0,84.6,4.1,0.1,2.3,0.0,6.1,3.0,7.7,216618,14697,4770,709,11744.0,37756,8402,1821,22723.0,36.9,30.9,43.0,18.5,15.4,21.6,21.9,16.0,27.9,9.5,18.3,0.7,13.2,19.4,6.9,305.0,305.0,305.0,285.0,285.0,285.0,225.0,225.0,225.0,225.0,200.0,10400.0,250.0,250.0,225.0,225.0,225.0,212.5,212.5,212.5,212.5,212.5,200.0,10400.0,344.0,344.0,344.0,314.0,314.0,314.0,267.0,267.0,267.0,267.0,227.7,275.0,275.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,305.0,15860.0,285.0,14820.0,225.0,11700.0,344.0,314.0,267.0,250.0,13000.0,225.0,11700.0,212.5,11050.0,275.0,250.0,250.0
Florida,FL,Bay County,12005,2021,56.3,53.2,59.4,70.0,67.1,72.9,4.6,3.9,5.3,4.5,3.6,5.2,70.5,69.8,72.3,66.3,81.9,9.1,12.9,60473,71233,77644,33499,28130,39118,65916,36514,30662,42639,181384,94.4,79.1,10.4,0.5,2.2,0.1,2.1,5.6,6.9,72881,4146,2674,248,3408.0,8683,3806,842,7578.0,36.0,32.1,40.3,19.3,16.7,22.2,23.2,15.9,31.3,10.6,19.1,1.2,10.8,16.2,5.0,200.0,200.0,165.0,165.0,160.0,160.0,145.0,145.0,145.0,145.0,100.0,5200.0,161.65,161.65,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,135.0,7020.0,200.0,200.0,170.0,170.0,165.0,165.0,160.0,160.0,153.0,153.0,120.0,185.0,185.0,155.9,155.9,150.0,150.0,150.0,150.0,150.0,150.0,150.0,200.0,10400.0,160.0,8320.0,145.0,7540.0,200.0,165.0,160.0,161.65,8405.800000000001,150.0,7800.0,150.0,7800.0,185.0,150.0,150.0
Tennessee,TN,Sequatchie County,47153,2010,49.3,41.2,57.8,59.8,52.2,67.3,10.5,13.4,8.3,9.9,10.9,9.0,58.6,59.1,66.5,68.2,74.0,15.8,21.8,33850,41808,56859,22362,19664,26458,46036,30412,26743,35983,13814,93.5,90.9,0.0,1.0,0.0,0.1,1.4,6.5,2.6,5083,254,301,17,444.0,742,549,218,573.0,29.0,22.3,37.9,17.3,10.4,26.4,19.6,15.2,25.5,11.7,19.1,1.9,22.5,33.0,8.4,100.0,100.0,95.0,95.0,90.0,90.0,90.0,90.0,90.0,90.0,45.0,2340.0,80.0,80.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,50.0,2600.0,114.5,114.5,109.29,109.29,101.49,101.49,101.49,101.49,101.49,101.49,52.04,88.48,88.48,83.27,83.27,83.27,83.27,83.27,83.27,83.27,83.27,60.37,100.0,5200.0,90.0,4680.0,90.0,4680.0,114.5,101.49,101.49,80.0,4160.0,75.0,3900.0,75.0,3900.0,88.48,83.27,83.27
Texas,TX,Bastrop County,48021,2021,59.9,55.0,64.5,73.2,68.8,77.3,4.0,4.0,4.0,3.9,3.8,4.1,71.5,68.7,71.7,62.8,80.6,8.6,10.9,78339,88509,96475,37697,31530,43121,85390,41090,34368,47002,94887,90.3,62.2,7.4,1.0,0.8,0.0,18.9,9.7,40.1,31271,2616,1703,249,1536.0,6995,3960,349,3288.0,33.9,28.0,41.2,16.8,13.7,20.7,18.9,9.7,30.3,16.2,28.8,0.7,14.1,19.9,7.1,208.0,208.0,208.0,191.0,191.0,191.0,177.0,177.0,177.0,177.0,166.0,8632.0,181.0,181.0,181.0,171.0,171.0,171.0,163.0,163.0,163.0,163.0,144.0,7488.0,246.0,246.0,246.0,228.0,228.0,228.0,212.0,212.0,212.0,212.0,200.0,217.0,217.0,217.0,206.0,206.0,206.0,196.0,196.0,196.0,196.0,176.0,208.0,10816.0,191.0,9932.0,177.0,9204.0,246.0,228.0,212.0,181.0,9412.0,171.0,8892.0,163.0,8476.0,217.0,206.0,196.0
Alaska,AK,Ketchikan Gateway Borough,2130,2011,62.0,62.8,61.3,70.6,73.6,67.8,8.0,5.9,10.1,8.2,5.6,10.8,78.0,57.3,89.8,80.0,83.7,4.9,9.6,57243,81815,107178,32594,28224,40633,74988,42698,36973,53229,13417,90.4,68.3,0.5,14.7,5.6,0.0,1.5,9.6,4.3,5479,319,404,0,210.0,1148,220,21,369.0,30.9,24.8,37.1,15.6,13.1,18.3,24.8,10.5,39.4,14.3,28.3,0.0,14.4,23.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NV,White Pine County,32033,2020,47.2,51.5,44.5,58.0,69.2,51.6,2.5,3.4,1.8,2.1,3.4,1.1,71.7,59.6,72.5,53.4,52.2,10.1,12.4,57353,71083,81746,40750,31471,47375,65956,46863,36192,54481,9570,97.2,84.2,6.5,3.9,1.1,0.0,1.5,2.8,16.5,3749,174,191,0,72.0,589,256,0,292.0,27.3,18.8,38.9,19.2,22.7,14.3,21.2,10.7,35.5,21.3,35.3,2.3,11.0,12.5,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,MI,Schoolcraft County,26153,2012,43.1,43.2,43.0,59.3,37.8,57.7,13.9,11.4,16.3,12.9,9.9,15.9,67.7,76.4,80.4,57.5,68.6,12.5,18.3,37468,48213,62195,23206,17341,29125,48334,29936,22370,37571,8455,96.2,87.7,0.3,7.9,0.2,0.0,0.1,3.8,0.8,3651,111,52,15,166.0,686,127,37,157.0,27.7,21.8,33.4,24.2,16.1,32.1,19.2,8.6,29.6,15.8,31.5,0.6,13.1,22.0,4.4,115.97,115.97,115.97,115.97,115.97,111.75,108.23,108.23,108.23,108.23,105.42,5481.84,84.34,84.34,84.34,84.34,84.34,84.34,84.34,84.34,84.34,84.34,84.34,4385.68,139.03,139.03,139.03,139.03,139.03,137.24,137.24,137.24,137.24,137.24,124.62,109.79,109.79,109.79,109.79,109.79,98.95,98.95,98.95,98.95,98.95,96.07,115.97,6030.44,115.97,6030.44,108.23,5627.96,139.03,139.03,137.24,84.34,4385.68,84.34,4385.68,84.34,4385.68,109.79,109.79,98.95
Montana,MT,Sweet Grass County,30097,2008,67.2,65.9,68.3,84.9,80.8,89.1,2.8,1.0,4.3,1.0,1.1,0.9,81.8,57.5,85.2,82.9,91.0,11.5,14.2,41839,55046,74312,20150,13129,25819,56483,27202,17724,34856,3668,98.3,96.8,0.0,0.8,0.0,0.0,0.7,1.7,3.0,1308,78,100,0,52.0,328,155,13,105.0,33.1,35.6,30.1,17.8,9.1,28.4,19.6,8.8,33.0,22.5,35.7,6.2,7.0,10.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,VA,Rappahannock County,51157,2015,57.0,49.1,64.8,72.1,63.8,79.8,2.9,5.6,0.8,2.6,4.8,1.0,67.1,86.1,79.9,55.6,80.6,5.7,9.9,57210,74600,92504,32076,26954,39327,70940,39774,33423,48765,7431,97.8,92.4,4.2,0.1,0.8,0.0,0.3,2.2,3.4,3273,239,96,17,44.0,420,216,105,65.0,35.1,33.4,37.4,19.4,15.3,24.7,25.9,20.7,32.9,13.1,22.5,0.5,6.5,8.0,4.5,205.0,205.0,205.0,190.0,160.0,160.0,160.0,160.0,160.0,160.0,150.0,7800.0,160.0,160.0,160.0,150.0,145.0,145.0,145.0,145.0,145.0,145.0,125.0,6500.0,245.0,245.0,245.0,210.0,190.0,190.0,190.0,190.0,190.0,190.0,160.0,185.0,185.0,185.0,175.0,155.0,155.0,155.0,155.0,155.0,155.0,145.0,205.0,10660.0,160.0,8320.0,160.0,8320.0,245.0,190.0,190.0,160.0,8320.0,145.0,7540.0,145.0,7540.0,185.0,155.0,155.0
Kentucky,KY,Bullitt County,21029,2016,61.4,57.0,65.9,73.3,68.9,77.8,6.7,7.1,6.4,6.1,6.0,6.1,73.2,83.2,83.7,75.5,83.2,7.7,10.3,58702,67256,82725,31306,25178,37660,72203,38506,30969,46322,77727,98.2,96.3,0.6,0.1,0.5,0.1,0.5,1.8,1.7,28533,2135,798,132,1262.0,6138,1399,365,3029.0,27.0,20.0,34.8,12.4,9.9,15.2,28.1,17.9,39.5,11.2,20.5,0.8,21.4,31.8,9.7,125.0,125.0,122.5,122.5,113.33,113.33,113.33,113.33,113.33,113.33,97.5,5070.0,100.0,100.0,95.0,95.0,90.0,90.0,90.0,90.0,90.0,90.0,86.25,4485.0,144.38,144.38,137.5,137.5,129.13,129.13,129.13,129.13,129.13,129.13,120.0,124.38,124.38,109.38,109.38,108.13,108.13,108.13,108.13,108.13,108.13,100.0,125.0,6500.0,113.33,5893.16,113.33,5893.16,144.38,129.13,129.13,100.0,5200.0,90.0,4680.0,90.0,4680.0,124.38,108.13,108.13
Iowa,IA,Jefferson County,19101,2017,55.9,55.2,56.6,65.0,68.1,62.4,6.7,6.2,7.1,6.8,5.9,7.6,72.3,73.5,88.1,61.7,67.5,7.2,15.2,44516,62355,75450,23526,17744,30504,53864,28466,21470,36910,17945,96.3,83.2,5.9,0.0,5.2,0.0,2.0,3.7,2.9,6872,430,193,27,314.0,948,157,86,385.0,36.5,32.2,41.5,15.8,12.9,19.2,23.1,13.3,34.6,8.7,14.8,1.6,15.9,26.8,3.1,173.57,173.57,173.57,173.57,173.57,173.57,148.13,148.13,148.13,148.13,118.89,6182.28,113.96,113.96,113.96,113.96,113.96,113.96,111.93,111.93,111.93,111.93,101.75,5291.0,208.07,208.07,208.07,208.07,208.07,208.07,177.57,177.57,177.57,177.57,142.51,133.01,133.01,133.01,133.01,133.01,133.01,130.63,130.63,130.63,130.63,118.76,173.57,9025.64,173.57,9025.64,148.13,7702.76,208.07,208.07,177.57,113.96,5925.92,113.96,5925.92,111.93,5820.360000000001,133.01,133.01,130.63
Puerto Rico,PR,Naguabo County,72103,2009,35.3,27.4,43.4,45.4,35.9,55.2,12.4,11.7,12.9,12.1,11.2,12.7,40.4,41.5,47.9,41.5,63.2,45.5,51.6,15493,18443,25267,13944,13530,14124,21225,19103,18536,19350,24279,96.9,76.0,6.9,0.6,0.1,0.0,13.3,3.1,97.5,7985,456,543,21,577.0,822,740,192,1200.0,23.7,13.6,39.3,20.5,18.4,23.7,21.5,16.0,30.0,21.9,34.8,1.9,12.4,17.1,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,TX,Camp County,48063,2015,52.5,46.7,58.7,67.2,60.5,74.6,8.5,9.0,8.1,7.3,7.7,6.9,65.5,71.7,71.2,57.8,80.1,14.7,19.7,37851,42900,53196,23687,19948,29881,46935,29372,24736,37052,12516,97.5,72.0,17.4,0.1,0.3,0.0,7.6,2.5,23.0,4431,408,208,12,286.0,863,457,68,620.0,22.0,14.9,30.2,19.6,13.8,26.2,21.9,12.6,32.6,13.6,24.1,1.5,23.0,34.7,9.5,111.7,111.7,111.7,104.35,104.35,104.35,99.55,99.55,99.55,99.55,96.0,4992.0,95.95,95.95,95.95,92.7,92.7,92.7,88.3,88.3,88.3,88.3,79.45,4131.400000000001,128.4,128.4,128.4,120.5,120.5,120.5,115.35,115.35,115.35,115.35,111.55,111.5,111.5,111.5,108.0,108.0,108.0,103.25,103.25,103.25,103.25,93.65,111.7,5808.400000000001,104.35,5426.2,99.55,5176.599999999999,128.4,120.5,115.35,95.95,4989.400000000001,92.7,4820.400000000001,88.3,4591.599999999999,111.5,108.0,103.25
